project_title,project_url,university_name,supervisors_info,applications_info
PhD Research Project: Artificial Intelligence (AI) for Feedback and Assessment in Higher Education at University of Birmingham,/phds/project/artificial-intelligence-ai-for-feedback-and-assessment-in-higher-education/?p166472,University of Birmingham,"Supervisors: Dr A M Mahomed, Dr D Donaldson",Year round applications
PhD Research Project: New multilevel converters for high-voltage battery systems for the decarbonisation of marine transport at University of Birmingham,/phds/project/new-multilevel-converters-for-high-voltage-battery-systems-for-the-decarbonisation-of-marine-transport/?p166471,University of Birmingham,Supervisor: Dr P Tricoli,31 January 2024
PhD Research Project: Experiences of vocational dance training and their impact on the dancer at University of Birmingham,/phds/project/experiences-of-vocational-dance-training-and-their-impact-on-the-dancer/?p166470,University of Birmingham,"Supervisors: Dr M Kavussanu, Dr Y J Kim",Year round applications
PhD Research Project: Probing the dynamics of atmospherically relevant gas-liquid surface reactions using velocity-map imaging at Heriot-Watt University,/phds/project/probing-the-dynamics-of-atmospherically-relevant-gas-liquid-surface-reactions-using-velocity-map-imaging/?p166469,Heriot-Watt University,"Supervisors: Dr SJ Greaves, Prof K G McKendrick",2 February 2024
PhD Research Project: A new method to probe the surface structures of liquids relevant to multiphase catalysis at Heriot-Watt University,/phds/project/a-new-method-to-probe-the-surface-structures-of-liquids-relevant-to-multiphase-catalysis/?p166467,Heriot-Watt University,"Supervisors: Prof K G McKendrick, Prof M L Costen",2 February 2024
PhD Research Project: Exploring the non-equilibrium states of matter at King’s College London,/phds/project/exploring-the-non-equilibrium-states-of-matter/?p166466,King’s College London,Supervisor: Mr F Huveneers,15 January 2024
PhD Research Project: Dynamics of atmospherically relevant gas-liquid surface reactions of the OH radical at Heriot-Watt University,/phds/project/dynamics-of-atmospherically-relevant-gas-liquid-surface-reactions-of-the-oh-radical/?p166465,Heriot-Watt University,"Supervisors: Prof K G McKendrick, Prof M L Costen",2 February 2024
PhD Research Project: Short and long-distance communication in cancer: Feedback regulation of Ras signalling in tumourigenesis and cachexia at Cardiff University,/phds/project/short-and-long-distance-communication-in-cancer-feedback-regulation-of-ras-signalling-in-tumourigenesis-and-cachexia/?p166463,Cardiff University,"Supervisors: Dr F Hamaratoglu, Dr C Hogan",Year round applications
PhD Research Project: The historic emergence of human-associated woodland biodiversity and its recent demise. at University of York,/phds/project/the-historic-emergence-of-human-associated-woodland-biodiversity-and-its-recent-demise/?p166462,University of York,"Supervisors: Prof J Finch, Prof CD Thomas",8 January 2024
PhD Research Project: Theoretical and Computational Chemistry of Photo-excited States at Heriot-Watt University,/phds/project/theoretical-and-computational-chemistry-of-photo-excited-states/?p166460,Heriot-Watt University,Supervisor: Dr M Paterson,2 February 2024
PhD Research Project: Comparing the relationship between inequality and biodiversity in croplands with weak and strong sustainability at University of York,/phds/project/comparing-the-relationship-between-inequality-and-biodiversity-in-croplands-with-weak-and-strong-sustainability/?p166459,University of York,"Supervisors: Dr A Green, Dr E Jew, Dr L Cooke",8 January 2024
PhD Research Project: Astrocatalysis at Near-ambient Pressure – Transition Metal Clusters at Heriot-Watt University,/phds/project/astrocatalysis-at-near-ambient-pressure-transition-metal-clusters/?p166458,Heriot-Watt University,"Supervisors: Prof MRS McCoustra, Dr HHP Yiu, Dr VC Cabedo, Prof GH Held",2 February 2024
PhD Research Project: Computational Modelling of Nano-Bio-Interfaces at University of Liverpool,/phds/project/computational-modelling-of-nano-bio-interfaces/?p160816,University of Liverpool,"Supervisors: Dr M Dyer, Prof R Raval",31 January 2024
PhD Research Project: Mechanochemistry of gram-positive bacterial adhesins—towards the rational design of anti-invasive strategies at King’s College London,/phds/project/mechanochemistry-of-gram-positive-bacterial-adhesins-towards-the-rational-design-of-anti-invasive-strategies/?p166457,King’s College London,Supervisor: Dr RTR Tapia-Rojo,1 February 2024
PhD Research Project: Dynamics of molecule-molecule inelastic scattering: Experiment and theory to study correlated rotational excitation in collisions of NO and CO with small molecules at Heriot-Watt University,/phds/project/dynamics-of-molecule-molecule-inelastic-scattering-experiment-and-theory-to-study-correlated-rotational-excitation-in-collisions-of-no-and-co-with-small-molecules/?p166455,Heriot-Watt University,"Supervisors: Prof M L Costen, Prof K G McKendrick",2 February 2024
PhD Research Project: Quantitative detection of short-lived radicals in organic synthesis: building mechanistic understanding from kinetic analysis at University of York,/phds/project/quantitative-detection-of-short-lived-radicals-in-organic-synthesis-building-mechanistic-understanding-from-kinetic-analysis/?p166454,University of York,Supervisor: Prof V Chechik,21 January 2024
"PhD Research Project: Pharmacokinetics Guided Natural Products Exploration for Drug Discovery, Development, Delivery and Therapy at University of Bradford",/phds/project/pharmacokinetics-guided-natural-products-exploration-for-drug-discovery-development-delivery-and-therapy/?p166448,University of Bradford,"Supervisors: Dr Muhammad Wahajuddin, Dr S Swaroop, Dr S Khan",Year round applications
PhD Research Project: Unlock the Power of Waves: PhD Opportunity in Wave Energy Harvesting Technology at University of Southampton,/phds/project/unlock-the-power-of-waves-phd-opportunity-in-wave-energy-harvesting-technology/?p166447,University of Southampton,Supervisor: Dr M M Torbati,31 August 2024
PhD Research Project: Describing Chemical Simulation with a Bayesian Worldview at University of Bristol,/phds/project/describing-chemical-simulation-with-a-bayesian-worldview/?p166446,University of Bristol,Supervisor: Dr AM McCluskey,Year round applications
PhD Research Project: TOWARDS A MODEL THAT PREDICTS ANTERIOR CRUCIATE LIGAMENT RUPTURE RISK IN FEMALE ATHLETES at Cardiff University,/phds/project/towards-a-model-that-predicts-anterior-cruciate-ligament-rupture-risk-in-female-athletes/?p166445,Cardiff University,"Supervisors: Dr P Theobald, Dr G Whatling, Dr NB Bennion",Year round applications
PhD Research Project: Revealing the Mystery of Scotch Whisky – Process Monitoring of Scotch Whisky Production at Heriot-Watt University,/phds/project/revealing-the-mystery-of-scotch-whisky-process-monitoring-of-scotch-whisky-production/?p166444,Heriot-Watt University,"Supervisors: Dr DE Ellis, Dr R.D. McIntosh",2 February 2024
PhD Research Project: Developing and understanding organometallic late transition metal complexes for C-H and C-C activation at Heriot-Watt University,/phds/project/developing-and-understanding-organometallic-late-transition-metal-complexes-for-c-h-and-c-c-activation/?p166441,Heriot-Watt University,"Supervisors: Dr S Mansell, Dr D Townsend",2 February 2024
PhD Research Project: Audio/acoustics Machine Learning at University of Surrey,/phds/project/audio-acoustics-machine-learning/?p166440,University of Surrey,Supervisor: Dr P Jackson,12 December 2023
PhD Research Project: Co-delivery of inorganic and organic antibiotics for tackling AMR bacteria at Heriot-Watt University,/phds/project/co-delivery-of-inorganic-and-organic-antibiotics-for-tackling-amr-bacteria/?p166439,Heriot-Watt University,"Supervisors: Dr HHP Yiu, Dr L Kerr",2 February 2024
PhD Research Project: Designing environmentally sustainable electronic products at Loughborough University,/phds/project/designing-environmentally-sustainable-electronic-products/?p166438,Loughborough University,"Supervisors: Dr P Webb, Dr EB Woolley",26 January 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship – Research into Sexual Violence Against Boys & Men at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-research-into-sexual-violence-against-boys-and-men/?p166436,Edge Hill University,Supervisor: Prof M Hartill,19 January 2024
PhD Research Project: PhD in Electrical Engineering - Metalenses for thermal imaging at University of Glasgow,/phds/project/phd-in-electrical-engineering-metalenses-for-thermal-imaging/?p158231,University of Glasgow,"Supervisors: Prof D Cumming, Dr V Pusino",31 January 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship – Social Sciences at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-social-sciences/?p166435,Edge Hill University,Supervisor: Dr A Moore,19 January 2024
PhD Research Project: Design and fabrication custom foot orthotics at Loughborough University,/phds/project/design-and-fabrication-custom-foot-orthotics/?p166434,Loughborough University,"Supervisors: Dr A Zahedi, Prof V Silberschmidt",26 January 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Computer Science and Informatics (ATRACT-A Trustworthy Robotic Autonomous system to support Casualty Triage) at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-computer-science-and-informatics-atract-a-trustworthy-robotic-autonomous-system-to-support-casualty-triage/?p166433,Edge Hill University,Supervisor: Prof E Pereira,19 January 2024
"PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Computational Cognitive Sciences, Philosophy, and Practice: A Human-Centred Perspective on Artificial Intelligence at Edge Hill University",/phds/project/graduate-teaching-assistant-gta-phd-studentship-computational-cognitive-sciences-philosophy-and-practice-a-human-centred-perspective-on-artificial-intelligence/?p166432,Edge Hill University,Supervisor: Dr C Hughes,19 January 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Biological Sciences at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-biological-sciences/?p166431,Edge Hill University,Supervisor: Dr J Charnock,19 January 2024
PhD Research Project: PhD in Robot Gripping and Hands at University of Birmingham,/phds/project/phd-in-robot-gripping-and-hands/?p166430,University of Birmingham,Supervisor: Dr S Davis,Year round applications
PhD Research Project: Investigation of the extracellular matrix as a regulator of Parkinson’s progression at University of Bradford,/phds/project/investigation-of-the-extracellular-matrix-as-a-regulator-of-parkinson-s-progression/?p166429,University of Bradford,Supervisor: Dr SM Dickens,Year round applications
PhD Research Project: Generative AI for the Next Generation of Manufacturing Automation Systems PhD at Cranfield University,/phds/project/generative-ai-for-the-next-generation-of-manufacturing-automation-systems-phd/?p166428,Cranfield University,Supervisor: Dr M Farsi,10 January 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Sport and Physical Activity at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-sport-and-physical-activity/?p152285,Edge Hill University,Supervisor: Prof MG Greig,19 January 2024
PhD Research Project: An experimental approach to mitigating hippo human conflict at University of Leeds,/phds/project/an-experimental-approach-to-mitigating-hippo-human-conflict/?p149027,University of Leeds,"Supervisors: Dr L Traill, Dr A Ward",Open Day(s)
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Psychological Research at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-psychological-research/?p152283,Edge Hill University,Supervisor: Dr DT Tse,19 January 2024
PhD Research Project: PhD studentship in Quantum Transport through Graphene Nanoribbons at University of Warwick,/phds/project/phd-studentship-in-quantum-transport-through-graphene-nanoribbons/?p160112,University of Warwick,Supervisor: Dr S Sangtarash,5 January 2024
"PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Performing Arts: Music, Drama, Dance at Edge Hill University",/phds/project/graduate-teaching-assistant-gta-phd-studentship-performing-arts-music-drama-dance/?p152281,Edge Hill University,Supervisor: Dr LS Simic,19 January 2024
PhD Research Project: Dynamic Bonding – A versatile platform for composite recycling at Heriot-Watt University,/phds/project/dynamic-bonding-a-versatile-platform-for-composite-recycling/?p166427,Heriot-Watt University,"Supervisors: Prof D G Bucknall, Dr R.D. McIntosh, Dr D Roy",2 February 2024
"PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Legal, Criminological, and Policing Research at Edge Hill University",/phds/project/graduate-teaching-assistant-gta-phd-studentship-legal-criminological-and-policing-research/?p152276,Edge Hill University,Supervisor: Prof AM Millie,19 January 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Historical Research at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-historical-research/?p152273,Edge Hill University,Supervisor: Prof AB Brown,19 January 2024
PhD Research Project: Development of an Innovative Composite Steel and Cross Laminated Timber (CLT) Floor System at University of Warwick,/phds/project/development-of-an-innovative-composite-steel-and-cross-laminated-timber-clt-floor-system/?p166426,University of Warwick,Supervisor: Prof S.J Hicks,5 January 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Health Research at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-health-research/?p152271,Edge Hill University,Supervisor: Prof LB Bray,19 January 2024
PhD Research Project: Climate change resilience of global supply chains at University of Bradford,/phds/project/climate-change-resilience-of-global-supply-chains/?p166425,University of Bradford,"Supervisors: Dr G Balci, Dr E Surucu Balci",Year round applications
PhD Research Project: Geography: Fully Funded Coleg Cymraeg Cenedlaethol and Swansea Welsh Medium PhD Scholarship: Tracking volcanic ash in the Antarctic to date past climate change at Swansea University,/phds/project/geography-fully-funded-coleg-cymraeg-cenedlaethol-and-swansea-welsh-medium-phd-scholarship-tracking-volcanic-ash-in-the-antarctic-to-date-past-climate-change/?p166424,Swansea University,Supervisor: Prof S Davies,Open Day(s)
PhD Research Project: Csp3-H Zincation: Functional Group Tolerant Modifications of Pharmaceutical Moieties at Heriot-Watt University,/phds/project/csp3-h-zincation-functional-group-tolerant-modifications-of-pharmaceutical-moieties/?p166423,Heriot-Watt University,Supervisor: Dr G Barker,2 February 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Geographical and Geological Research at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-geographical-and-geological-research/?p152265,Edge Hill University,Supervisor: Dr J Cortes,19 January 2024
PhD Research Project: Welsh / Welsh History: Fully Funded Coleg Cymraeg Cenedlaethol and Swansea Welsh Medium PhD Scholarship: The Life and Work of Norah Isaac at Swansea University,/phds/project/welsh-welsh-history-fully-funded-coleg-cymraeg-cenedlaethol-and-swansea-welsh-medium-phd-scholarship-the-life-and-work-of-norah-isaac/?p166422,Swansea University,Supervisor: Prof G Parry,Open Day(s)
"PhD Research Project: Bayesian Deep Learning for cosmology with Euclid at Royal Holloway, University of London",/phds/project/bayesian-deep-learning-for-cosmology-with-euclid/?p166421,"Royal Holloway, University of London",Supervisor: Dr ASM Mancini,Year round applications
PhD Research Project: Shadow Sense – Visual foundation model for capability enhancement PhD at Cranfield University,/phds/project/shadow-sense-visual-foundation-model-for-capability-enhancement-phd/?p166420,Cranfield University,Supervisor: Mr S Court,10 January 2024
PhD Research Project: Biomedicine: Fully Funded Coleg Cymraeg Cenedlaethol and Swansea Welsh Medium PhD Scholarship: The impact of language on eye health in optical practices in Wales at Swansea University,/phds/project/biomedicine-fully-funded-coleg-cymraeg-cenedlaethol-and-swansea-welsh-medium-phd-scholarship-the-impact-of-language-on-eye-health-in-optical-practices-in-wales/?p166419,Swansea University,Supervisor: Dr A Morgan,Open Day(s)
PhD Research Project: Payments for cold weather and wellbeing at University of Bradford,/phds/project/payments-for-cold-weather-and-wellbeing/?p166418,University of Bradford,"Supervisors: Prof KL Papps, Dr S Jayakody",Year round applications
PhD Research Project: Biological Sciences: Fully Funded Coleg Cymraeg Cenedlaethol and Swansea Welsh Medium PhD Scholarship: Parasites in Aquaculture at Swansea University,/phds/project/biological-sciences-fully-funded-coleg-cymraeg-cenedlaethol-and-swansea-welsh-medium-phd-scholarship-parasites-in-aquaculture/?p166417,Swansea University,Supervisor: Prof S Consuegra,Open Day(s)
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - English and Creative Writing at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-english-and-creative-writing/?p152262,Edge Hill University,Supervisor: Dr AM McInnes,19 January 2024
"PhD Research Project: History: Fully Funded Coleg Cymraeg Cenedlaethol and Swansea Welsh Medium PhD Scholarship: 'Is Fair Weather coming again?' The discussions about climate change in Wales, from the 1950s to 2016 at Swansea University",/phds/project/history-fully-funded-coleg-cymraeg-cenedlaethol-and-swansea-welsh-medium-phd-scholarship-is-fair-weather-coming-again-the-discussions-about-climate-change-in-wales-from-the-1950s-to-2016/?p166416,Swansea University,Supervisor: Dr G Matthews,Open Day(s)
